user_id,item_id,rating,rented for,review_text,category,height,size,age,review_date
476109,139086,8,formal affair,it hit the floor perfectly with a pair of heels and hit my curvy figure at all the right places,gown,"5' 3""",15,27.0,Dec 19 2017
203660,1126889,6,party,the dress is absolutely gorgeous unfortunately the dress proportions were off for my height i would have loved to wear this out but i couldnt because the lengths were awkward on my body ,dress,"5' 4""",12,28.0,Jan 03 2022
868581,652189,8,wedding,even though it was lined with satin this was a light beachy dress that was still formal enough for this casual beach weddingitsbackless though so you cant wear a bra and because the neck is such a scoopneck it makes the neckline a little strange if you have a chest and dont wear onei ended up getting one of those stick on bras and the dress looked much betterits much pinker than the model picture which was a pleasant surprisepretty dress comfortable just a little awkward fitting in the chest area if you have anything larger than an abuy the stick on bra,dress,"5' 5""",24,30.0,Aug 05 2021
935076,1879504,8,wedding,this dress was greatit fit really well and was very comfortablethe only negative is that the length is a little odd so it made walking up stairs and getting into the car a little difficultimlbs and the medium fit perfectly,sheath,"5' 3""",14,37.0,Oct 02 2021
995023,1179146,10,party,super flattering i am usually a sizemi have a dd chest and this dress was so flattering on,dress,"5' 2""",14,37.0,Nov 20 2022
307791,226072,10,party,thefit better in the chest but it was too loose in the waist but thefit perfectly in the waist,dress,"5' 6""",4,28.0,May 06 2020
49264,145906,8,formal affair,i had some problems with the zipper even on the hanger it was very tricky to zip up i had plenty of room for the fabric to close on my body and it was extremely difficult to zip up on the body and on the hanger i also thought it was a touch long i amand hadinch heels on and ordered a regular it was a little long and i needed to lift it some when tackling stairs other than that i loved the dress i dont normally wear strapless much but the sweetheart cut works great ,gown,"5' 4""",8,32.0,Mar 05 2019
859603,1498329,8,wedding,the dress was gorgeous but unfortunately i was unable to wear it due to some quality issues which the renttherunway team was excellent at handlingi would recommend going upsizes from your usual dress size if you have a larger bustit also runs on the long side imand even withinch heels it dragged a little too much for my preferencethe colours are rich and true to the picture the fabric is forgiving when it comes to wrinkles so its a dress that travels very well,gown,"5' 3""",20,30.0,Oct 02 2022
124317,1268360,10,other,i wore this dress for an attorney mixer it definitely stood out in a sea of black suits i paired this dress with a classic black blazera belt ,dress,"5' 4""",12,33.0,Feb 26 2020
22414,859889,8,wedding,the fit of this dress runs small imlbs and typically wear a sizei ordered aand thewasnt even close to being able to zip up ended up wearing theand it was still snug i would recommend sizing up with this dress cut and color are beautiful and classy fabric is thick and hides your flaws would love to buy this dress,dress,"5' 4""",16,30.0,Jul 13 2021
390396,148690,6,formal affair,usually the issue for me is that if the top fits the bottom is too small and vice versa but in this instance the bottom fit but i couldnt get the back strip to connect so i had to essentially wear it as a backless dress it worked but was not ideal it was also much longer on me than shown on the model,dress,"5' 5""",24,36.0,Oct 24 2019
543042,136110,10,formal affair,the sizefit perfectly because i have big arms i normally wear a sizeorbut overall the dress fit perfectly but just a little short because im,dress,"5' 9""",57,23.0,Apr 22 2019
483798,1526552,4,work,this was not flattering on my curvesdidnt leave the wardrobe,dress,"5' 7""",24,41.0,Oct 02 2022
